Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes			Genes
B CELL RECEPTOR SIGNALING PATHWAY	4/82	2.69E-04	0.017891095	14.13532764	116.2016395	"LILRB2, PLCG2, INPP5D, BLNK"			LILRB2
OSTEOCLAST DIFFERENTIATION	5/134	1.58E-04	0.017891095	10.80631073	94.58247974	SPI1;BLNK;PLCG2;TREM2;LILRB2			PLCG2
IGSF CAM SIGNALING	6/294	8.85E-04	0.039237837	5.844047619	41.08278164	APP;INPP5D;NCK2;PLCG2;ANK3;CD2AP			INPP5D
LYSOSOME	4/132	0.001610945	0.05356393	8.592013889	55.25467548	IDUA;SORT1;CTSH;CTSB			
FC GAMMA R-MEDIATED PHAGOCYTOSIS	3/98	0.006192464	0.164719531	8.5777938	43.61312593	BIN1;INPP5D;PLCG2			
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	3/116	0.009830102	0.17856586	7.204873318	33.30312877	PLCG2;RHOH;PTK2B			
TYPE I DIABETES MELLITUS	2/42	0.011121342	0.17856586	13.43513514	60.44318631	ICA1;HLA-DQA1			
ABC TRANSPORTERS	2/45	0.012694272	0.17856586	12.49591452	54.56471517	ABCA1;ABCA7			
SHIGELLOSIS	4/242	0.01360058	0.17856586	4.595238095	19.74869193	SHARPIN;TNIP1;PLCG2;RBCK1			
ALZHEIMER DISEASE	5/379	0.0146739	0.17856586	3.681177977	15.54077328	APP;ADAM17;APH1B;COX7C;WNT3			
VIBRIO CHOLERAE INFECTION	2/49	0.014932834	0.17856586	11.43013226	48.05448073	SEC61G;PLCG2			
CHOLESTEROL METABOLISM	2/51	0.016111205	0.17856586	10.96249311	45.25580539	ABCA1;SORT1			
NOTCH SIGNALING PATHWAY	2/62	0.023264146	0.214852478	8.947747748	33.65106485	ADAM17;APH1B			
INFLAMMATORY BOWEL DISEASE	2/63	0.023968622	0.214852478	8.800620292	32.83519989	MAF;HLA-DQA1			
FC EPSILON RI SIGNALING PATHWAY	2/68	0.027620105	0.214852478	8.131859132	29.18696091	INPP5D;PLCG2			
RENIN SECRETION	2/69	0.028375707	0.214852478	8.010084712	28.53369919	ACE;CTSB			
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	2/70	0.029139573	0.214852478	7.891891892	27.90303166	ADAM17;PLCG2			
AXON GUIDANCE	3/178	0.030353768	0.214852478	4.637729941	16.20809907	NCK2;PLCG2;EPHA1			
NOD-LIKE RECEPTOR SIGNALING PATHWAY	3/185	0.033469137	0.214852478	4.457775102	15.14364845	SHARPIN;RBCK1;CTSB			
LEISHMANIASIS	2/76	0.033892343	0.214852478	7.249817385	24.53748662	CR1;HLA-DQA1			
ANTIGEN PROCESSING AND PRESENTATION	2/78	0.035539508	0.214852478	7.058321479	23.55439737	HLA-DQA1;CTSB			
INOSITOL PHOSPHATE METABOLISM	2/78	0.035539508	0.214852478	7.058321479	23.55439737	INPP5D;PLCG2			
PROTEOGLYCANS IN CANCER	3/197	0.039182609	0.220501814	4.179494422	13.53956525	PLCG2;ANK3;WNT3			
ERBB SIGNALING PATHWAY	2/83	0.039789801	0.220501814	6.620954288	21.34691436	NCK2;PLCG2			
EPSTEIN-BARR VIRUS INFECTION	3/203	0.04221407	0.221607455	4.052876712	12.82736171	BLNK;PLCG2;HLA-DQA1			
COMPLEMENT AND COAGULATION CASCADES	2/87	0.043321758	0.221607455	6.308108108	19.80178389	CR1;CLU			
TH1 AND TH2 CELL DIFFERENTIATION	2/91	0.046966237	0.231352205	6.023382933	18.42147042	MAF;HLA-DQA1			
HEMATOPOIETIC CELL LINEAGE	2/97	0.052634971	0.245832267	5.641251778	16.6099581	CR1;HLA-DQA1			
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	2/98	0.053602524	0.245832267	5.582207207	16.33442651	INPP5D;PLCG2			
CORONAVIRUS DISEASE - COVID-19	3/230	0.057260088	0.253853059	3.565928429	10.19909532	ADAM17;ACE;PLCG2			
NF-KAPPA B SIGNALING PATHWAY	2/104	0.059538877	0.255440989	5.252252252	14.81726425	BLNK;PLCG2			
GLYCOSAMINOGLYCAN DEGRADATION	1/18	0.066261818	0.275400679	15.61333333	42.3767952	IDUA			
CALCIUM SIGNALING PATHWAY	3/250	0.069829076	0.281432339	3.273861683	8.714053313	PLCG2;PTK2B;TPCN1			
NEUROTROPHIN SIGNALING PATHWAY	2/119	0.075294813	0.29453559	4.575421575	11.83361431	SORT1;PLCG2			
RENIN-ANGIOTENSIN SYSTEM	1/23	0.083885979	0.31876672	12.06181818	29.89276534	ACE			
GLYCOSAMINOGLYCAN BIOSYNTHESIS - HEPARAN SULFATE / HEPARIN	1/24	0.087371214	0.318989696	11.53681159	28.12200976	HS3ST5			
NATURAL KILLER CELL MEDIATED CYTOTOXICITY	2/131	0.088741494	0.318989696	4.147286822	10.04484354	PLCG2;PTK2B			
APOPTOSIS	2/136	0.094541312	0.330894592	3.991528842	9.414892434	CTSH;CTSB			
PHOSPHOLIPASE D SIGNALING PATHWAY	2/147	0.107668434	0.350226059	3.68667288	8.216483544	PLCG2;PTK2B			
ASTHMA	1/30	0.108009525	0.350226059	9.147126437	20.3572579	HLA-DQA1			
PROTEIN EXPORT	1/31	0.111404175	0.350226059	8.841777778	19.40408126	SEC61G			
PHAGOSOME	2/151	0.112557849	0.350226059	3.586976238	7.834989072	SEC61G;HLA-DQA1			
INTEGRIN SIGNALING	2/153	0.115024199	0.350226059	3.539108645	7.653721454	NCK2;FERMT2			
EFFEROCYTOSIS	2/157	0.119998433	0.350226059	3.447079337	7.308761638	ABCA1;ADAM17			
NECROPTOSIS	2/158	0.121250393	0.350226059	3.424809425	7.225996879	SHARPIN;RBCK1			
NEUTROPHIL EXTRACELLULAR TRAP FORMATION	2/159	0.122505628	0.350226059	3.402823205	7.144561848	CR1;PLCG2			
MICRORNAS IN CANCER	2/160	0.123764096	0.350226059	3.381115293	7.064427826	PLCG2;WNT3			
HEPATOCELLULAR CARCINOMA	2/166	0.131380483	0.35694481	3.256427159	6.609432514	PLCG2;WNT3			
ALLOGRAFT REJECTION	1/37	0.131505983	0.35694481	7.365925926	14.94327554	HLA-DQA1			
PRIMARY IMMUNODEFICIENCY	1/38	0.134812372	0.358600908	7.166486486	14.36071664	BLNK			
GRAFT-VERSUS-HOST DISEASE	1/42	0.147914162	0.37914018	6.46601626	12.35735341	HLA-DQA1			
TUBERCULOSIS	2/179	0.148235258	0.37914018	3.015269507	5.756012846	CR1;HLA-DQA1			
FAT DIGESTION AND ABSORPTION	1/43	0.151158898	0.379323272	6.311746032	11.92556249	ABCA1			
TRANSCRIPTIONAL MISREGULATION IN CANCER	2/189	0.161486267	0.389886297	2.852579853	5.201209182	SPI1;MAF			
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION	1/47	0.164016351	0.389886297	5.76173913	10.41600951	HLA-DQA1			
CHEMOKINE SIGNALING PATHWAY	2/191	0.164162651	0.389886297	2.822107822	5.099259758	PLCG2;PTK2B			
MALARIA	1/50	0.173533135	0.404910649	5.408163265	9.4717853	CR1			
AUTOIMMUNE THYROID DISEASE	1/52	0.17981818	0.406622049	5.195555556	8.914581245	HLA-DQA1			
DIABETIC CARDIOMYOPATHY	2/203	0.18038121	0.406622049	2.652010219	4.542052386	ACE;COX7C			
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	2/210	0.189953747	0.419161716	2.561850312	4.255168479	PLCG2;PTK2B			
LEGIONELLOSIS	1/56	0.192247103	0.419161716	4.816727273	7.942656788	CR1			
VEGF SIGNALING PATHWAY	1/59	0.201446644	0.427207474	4.566896552	7.317221978	PLCG2			
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	2/219	0.202361435	0.427207474	2.454477519	3.921518484	SPI1;HLA-DQA1			
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	2/222	0.206519015	0.429172328	2.420638821	3.818225602	PRKD3;COX7C			
BASAL CELL CARCINOMA	1/62	0.210542774	0.43033971	4.341639344	6.764562567	WNT3			
LYSINE DEGRADATION	1/63	0.213552036	0.43033971	4.271397849	6.594503271	PRDM7			
ACUTE MYELOID LEUKEMIA	1/67	0.225476299	0.446780989	4.011717172	5.975614112	SPI1			
VIRAL MYOCARDITIS	1/68	0.228429378	0.446780989	3.951641791	5.83471048	HLA-DQA1			
NON-SMALL CELL LUNG CANCER	1/71	0.237222108	0.457254208	3.781714286	5.440973245	PLCG2			
ENDOCYTOSIS	2/248	0.242875507	0.461463463	2.16194243	3.059594513	SNX1;BIN1			
GLIOMA	1/75	0.248792097	0.464867193	3.576576577	4.975510451	PLCG2			
RIBOSOME BIOGENESIS IN EUKARYOTES	1/76	0.251657428	0.464867193	3.528711111	4.868515186	SPPL2A			
BACTERIAL INVASION OF EPITHELIAL CELLS	1/78	0.257355772	0.468881063	3.436709957	4.664632078	CD2AP			
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	3/469	0.263783201	0.474096835	1.715973896	2.286754382	APP;COX7C;WNT3			
POLYCOMB REPRESSIVE COMPLEX	1/82	0.268624304	0.474976197	3.266337449	4.293409539	EED			
CARDIAC MUSCLE CONTRACTION	1/83	0.27141497	0.474976197	3.226341463	4.207492474	COX7C			
GNRH SIGNALING PATHWAY	1/90	0.290657562	0.48874166	2.971535581	3.671657501	PTK2B			
ALDOSTERONE SYNTHESIS AND SECRETION	1/92	0.296062725	0.48874166	2.905934066	3.537056273	PRKD3			
