Term	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes	Immune Flag				Genes
Negative Regulation of Complement-Dependent Cytotoxicity (GO:1903660)	1.41E-04	0.004777949	179.4684685	1590.730283	CR1;CLU	YES				CR1
Regulation of Dendritic Cell Cytokine Production (GO:0002730)	1.41E-04	0.004777949	179.4684685	1590.730283	PLCG2;SCIMP	YES				PLCG2
Positive Regulation of Leukocyte Mediated Immunity (GO:0002705)	1.41E-04	0.004777949	179.4684685	1590.730283	PLCG2;SCIMP	YES				GRN
"Positive Regulation of Phagocytosis, Engulfment (GO:0060100)"	6.21E-06	8.44E-04	116.9295499	1401.960378	PLCG2;ABCA7;TREM2	YES				APP
Negative Regulation of Humoral Immune Response (GO:0002921)	2.96E-04	0.00623785	107.6702703	874.9884976	CR1;CLU	YES				ADAM17
Microglial Cell Activation Involved in Immune Response (GO:0002282)	2.96E-04	0.00623785	107.6702703	874.9884976	GRN;TREM2	YES				IL34
Macrophage Activation Involved in Immune Response (GO:0002281)	2.32E-05	0.001776044	68.19178082	727.6511502	GRN;PLCG2;TREM2	YES				SHARPIN
Microglial Cell Activation (GO:0001774)	1.93E-06	2.95E-04	55.28888889	727.4679712	APP;GRN;TREM2;CLU	YES				INPP5D
"Regulation of Complement Activation, Classical Pathway (GO:0030450)"	3.93E-04	0.007496716	89.72072072	703.5305464	CR1;TREM2	YES				SPI1
Positive Regulation of Complement Activation (GO:0045917)	3.93E-04	0.007496716	89.72072072	703.5305464	CR1;TREM2	YES				CLU
Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)	3.93E-04	0.007496716	89.72072072	703.5305464	PLCG2;SCIMP	YES				SCIMP
Myeloid Leukocyte Mediated Immunity (GO:0002444)	6.29E-04	0.009161496	67.28378378	496.0031637	ADAM17;ACE	YES				ABCA7
Regulation of Complement-Dependent Cytotoxicity (GO:1903659)	7.67E-04	0.010198546	59.8048048	429.0158049	CR1;CLU	YES				TREM2
"Regulation of Phagocytosis, Engulfment (GO:0060099)"	7.67E-04	0.010198546	59.8048048	429.0158049	PLCG2;TREM2	YES				ACE
Macrophage Activation (GO:0042116)	1.16E-05	0.001328113	33.48653199	380.6732283	APP;PLCG2;TREM2;CLU	YES				PTK2B
Negative Regulation of Immune Effector Process (GO:0002698)	1.29E-04	0.004777949	35.55866587	318.5258854	GRN;CR1;CLU	YES				SPPL2A
Negative Regulation of Complement Activation (GO:0045916)	0.00125897	0.013258244	44.84684685	299.4630758	CR1;CLU	YES				SORL1
Negative Regulation of Neuroinflammatory Response (GO:0150079)	0.001449087	0.014303895	41.3950104	270.5917847	GRN;TREM2	YES				TNIP1
Regulation of Microglial Cell Activation (GO:1903978)	0.00165203	0.015675078	38.43629344	246.2132978	GRN;TREM2	YES				LILRB2
Regulation of Complement Activation (GO:0030449)	0.002096003	0.017663023	33.62837838	207.4105253	CR1;CLU	YES				HLA-DQA1
Regulation of Leukocyte Chemotaxis (GO:0002688)	0.002096003	0.017663023	33.62837838	207.4105253	ADAM17;PTK2B	YES				
Positive Regulation of Neuroinflammatory Response (GO:0150078)	0.002096003	0.017663023	33.62837838	207.4105253	PLCG2;TREM2	YES				
Positive Regulation of Macrophage Migration (GO:1905523)	0.002855732	0.021184337	28.314367	165.877657	IL34;TREM2	YES				
Regulation of Macrophage Chemotaxis (GO:0010758)	0.003133597	0.022170654	26.8972973	155.0783474	IL34;PTK2B	YES				
Regulation of Cytokine-Mediated Signaling Pathway (GO:0001959)	8.07E-04	0.010501712	18.1543379	129.309748	SHARPIN;SPPL2A;SORL1	YES				
Regulation of Neuroinflammatory Response (GO:0150077)	0.004703359	0.029828556	21.51243243	115.2954159	PLCG2;TREM2	YES				
Positive Regulation of Leukocyte Chemotaxis (GO:0002690)	0.001331366	0.013694049	15.1217656	100.1295253	APP;ADAM17;IL34	YES				
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	6.17E-04	0.009161496	11.23922902	83.05995573	APP;ADAM17;PLCG2;CLU	YES				
Regulation of Immune Response (GO:0050776)	6.88E-04	0.009798141	10.90374037	79.39116696	INPP5D;SPPL2A;TREM2;HLA-DQA1	YES				
Positive Regulation of Phagocytosis (GO:0050766)	0.002121294	0.017663023	12.75256849	78.50135334	PLCG2;TREM2;ABCA7	YES				
Positive Regulation of Cytokine Production Involved in Immune Response (GO:0002720)	0.008708364	0.048230938	15.35830116	72.85166171	PLCG2;SCIMP	YES				
Negative Regulation of Immune Response (GO:0050777)	0.002816466	0.021184337	11.4912213	67.47958267	SPI1;CR1;TREM2	YES				
Positive Regulation of Inflammatory Response (GO:0050729)	0.001566592	0.015218327	8.660104987	55.93433998	APP;GRN;TNIP1;PLCG2	YES				
Myeloid Leukocyte Differentiation (GO:0002573)	0.004165288	0.027558447	9.944203141	54.50387748	SPI1;IL34;TREM2	YES				
Positive Regulation of Cytokine Production (GO:0001819)	0.002406482	0.018881629	4.765909091	28.73647436	APP;ADAM17;PLCG2;LILRB2;SORL1;SCIMP	YES				
